Agency,Department,Name,Title,Room Number,Street Address,City,State,Zip Code,Telephone,Fax,Email Address,Website,Online Request Form,Notes
*,Department of Agriculture,*,FOIA Public Liaison,*,,*,*,,(434)659-8456,,johnsontracy@yahoo.com,,,
*,*,*,FOIA Officer,*,*,*,*,*,493-428-3314x5326,,nancyshelton@hotmail.com,*,http://www.doi.gov/foia/foia-request-form.cfm,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,791.481.8788,481-799-3015x783,,*,http://www.justice.gov/oip/oip-request.html,
*,Department of Agriculture,*,*,*,"1400 Independence Avenue, SW",Washington,DC,*,2329240494,001-088-016-8430x7244,blanchardcraig@gmail.com,*,,*
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-748-963-3656x40154,,,,,
*,Department of Homeland Security,,FOIA Officer,,*,Washington,DC,*,6183597746,4844647487,jamesalvarado@gmail.com,*,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,275.956.8482x037,4864603330,cory43@yahoo.com,*,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,(634)004-1093x6933,,,,,
*,*,*,FOIA Requester Service Center,,,,,,7267860958,,,,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,+1-568-213-5206x6914,,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,783-736-5408,,,,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,1117159928,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,682-873-7657x96377,,,,,
*,Department of Health and Human Services,*,FOIA Officer,*,*,Washington,DC,*,001-805-593-2808,075.523.2226x8661,troyswanson@gmail.com,*,*,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,039-196-4914,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,(688)645-5812x30013,,,,,
*,Department of Justice,*,FOIA Officer,*,*,Washington,DC,*,001-341-154-3616x3801,,sharonyates@hotmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,+1-762-399-2681,,taterobert@gmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,(642)702-9735x501,,brandon71@yahoo.com,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,(930)515-1625x43496,6161970381,,http://www.foia.va.gov/,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,(133)761-8877x198,,scottandrew@yahoo.com,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,660.559.4289x376,,,,,
*,Department of Agriculture,*,FOIA Requester Service Center,*,,*,*,,2826208293,,wrightgabriel@gmail.com,,,
*,Department of Defense,*,FOIA Officer,*,,*,*,*,+1-647-911-4988x401,+1-680-720-6975x821,jeffreyblair@gmail.com,*,*,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,,,,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,*,*,MD,*,,,ilynch@hotmail.com,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,6303903922,234.673.6967x850,copelandelizabeth@yahoo.com,*,*,
*,Department of Defense,*,*,*,*,*,VA,*,(661)903-2231x99161,(571)490-9169,kathleen67@hotmail.com,*,,
*,Department of Labor ,*,*,*,*,*,DC,*,4401817302,314-284-0391x9356,austin79@hotmail.com,*,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,+1-777-258-9960x1966,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,001-869-794-5703x0539,+1-509-236-5468x290,,http://www.foia.va.gov/,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,+1-244-251-2917,,moorerobert@hotmail.com,*,,
*,Department of Health and Human Services,*,FOIA Public Liaison,,,,,,961-402-1748x390,763.664.7894,,,,
*,Department of Defense,*,FOIA Public Liaison,,,*,,,806-491-6036,460.499.1514x667,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,+1-091-877-2412x95607,,brad35@yahoo.com,,,
*,Department of Veterans Affairs,,FOIA Public Liaison,,,,,,(865)968-7318x098,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,412.572.0447,(387)975-3679x4896,fgray@yahoo.com,http://www.foia.va.gov/,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,(372)397-8576x78333,,,*,,
*,Department of Health and Human Services,*,FOIA Officer,*,*,*,MD,*,416-121-8260x437,001-394-344-4716,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-215-577-3224x61382,,,,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,668-507-6897,,,,,
*,Department of Defense,*,*,*,*,*,VA,*,362-219-4105x0303,001-064-912-4085x99602,karensantos@yahoo.com,*,*,
*,Department of Agriculture,*,*,*,"1400 Independence Avenue, SW",Washington,DC,*,114-312-8708x12149,276.420.5117x1445,vegadaisy@hotmail.com,*,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,(386)536-0960,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,537-034-9147x797,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,962-373-9293x90274,,,,,
*,Department of Justice,*,*,,,,,,506.658.2166,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,001-937-918-0628x4411,474.975.3702x1604,,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,(484)527-9576x0412,,,,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,9616927978,,hbeck@yahoo.com,,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,+1-529-441-0342x36448,,,,,
*,Department of Transportation,*,FOIA Requester Service Center,,,,,,182-213-2521,,,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,595-314-7229x7416,,pwilson@hotmail.com,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,(482)108-9247x3886,,,,,
*,Department of Health and Human Services,*,FOIA Requester Service Center,*,*,*,MD,*,924-328-8521,001-804-839-6435x4951,gmcdonald@hotmail.com,*,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,+1-422-359-1970x8021,,,,,
*,Department of Agriculture,*,FOIA Requester Service Center,,,,,,211.471.3688x652,001-805-709-7254,reedphilip@gmail.com,,,
*,Department of Agriculture,*,FOIA Public Liaison,*,"1400 Independence Avenue, SW",Washington,DC,*,+1-598-496-1857x90953,,glenn89@hotmail.com,,,
*,Department of Agriculture,*,FOIA Officer,*,*,*,MD,*,028.801.2848x0366,001-196-087-0707x6872,arowe@hotmail.com,*,*,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,(749)277-4833,,,,,
*,*,,FOIA Requester Service Center,,,,,,001-769-058-8289,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,677-260-5693x7964,001-500-820-4245x36546,,*,http://www.justice.gov/oip/oip-request.html,
*,*,*,*,,*,Washington,DC,*,268-077-0156,+1-316-243-3169x506,cooleyjames@gmail.com,*,*,
*,Department of Energy,,FOIA Requester Service Center,,,,,,+1-195-758-8740x98067,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,101.295.3829,,,,,
*,Department of Transportation,*,*,*,*,Washington,DC,*,+1-062-907-0813x044,(515)570-0786,walkerjane@yahoo.com,*,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,973-727-0462x65026,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,001-612-811-0717,706-226-2036x78372,,http://www.foia.va.gov/,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,653.991.4236x218,+1-544-410-6308,sarah30@hotmail.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Health and Human Services,*,*,,,,,,(527)175-1981x96068,,,,,
*,Department of Energy,*,FOIA Requester Service Center,,,,,,758.185.7245x971,,,,,
*,Department of Defense,*,*,*,*,*,VA,*,9491477625,147-229-0308x15759,,*,*,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,396.075.3951x350,,,,,
*,*,*,*,*,*,*,*,*,(902)253-6976x45564,433.919.5634,,,,
*,Department of Agriculture,*,*,*,*,Washington,DC,*,+1-409-744-5565x96467,911.789.4348x98032,brendacarpenter@gmail.com,*,*,
*,Department of Justice,,*,,,,,,657.067.6118x3288,,,,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,863-243-1149x2091,+1-000-443-3636,riverasharon@yahoo.com,*,*,
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-583-034-7806x92390,,micheal21@gmail.com,,,*
*,*,,FOIA Requester Service Center,,,,,,+1-423-069-5976,,,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,001-322-093-5180x016,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,142.063.8655x301,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,514-809-9858,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,,327-714-6070x1891,261.348.0116x24277,meyerbrenda@hotmail.com,*,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,+1-304-964-3486x702,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-746-895-5417x7613,,,,,
*,*,*,FOIA Public Liaison,,,,,,096-622-0188x193,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,(686)289-1068,+1-997-868-8914,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-426-147-4719x85958,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,577-342-2641,,,,,
*,Department of Agriculture,*,FOIA Officer,*,"1400 Independence Avenue, SW",Washington,MD,*,(722)664-8142x13590,(852)753-4862,caitlin39@hotmail.com,*,,*
*,Department of Defense,*,*,*,*,*,*,*,(733)106-5239,7601882131,tylerbrown@gmail.com,*,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,+1-502-309-8050,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,(051)256-7591x369,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-935-264-9818,,stonejeffrey@gmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-919-352-8400x445,536-110-9699x56230,jstone@yahoo.com,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,20420,+1-895-284-4409x93412,,,,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,211-543-4304x2115,,,,,
*,Department of Commerce,*,*,,*,*,VA,*,956-504-3621,(571)722-8887x942,jeff81@gmail.com,*,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,081.689.3361x57896,+1-308-024-8398x0221,xavierboyd@hotmail.com,*,*,
*,*,*,*,*,*,Washington,MD,*,588.756.7264x51786,8117155105,,*,*,
*,Department of Justice,*,*,,*,Washington,DC,20530-0001,289.742.2323x717,141.694.8991,hopkinstimothy@hotmail.com,*,,
*,Department of Defense,,FOIA Requester Service Center,,,,,,+1-411-242-8482x546,,,,,
*,Department of Defense,*,*,*,,*,MD,*,955-103-2989x646,(374)431-6504,,*,*,
*,Department of Energy,,FOIA Requester Service Center,,,,,,(739)744-8398,,,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-996-698-7535x07271,,,,,
*,*,,FOIA Requester Service Center,,,,,,7314498241,,,,,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,325-188-4731x7658,,,,,*
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,915.327.5241x794,001-039-256-3692x3144,ysmith@yahoo.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,FOIA Public Liaison,,,,,,,(439)986-7188x3682,beverlysmith@hotmail.com,,,
*,Department of Agriculture,*,FOIA Officer,*,"1400 Independence Avenue, SW",Washington,DC,*,001-819-015-1085x61410,,fmiller@hotmail.com,*,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,+1-977-945-4085x994,001-413-427-7970x50992,iwhite@yahoo.com,*,,
*,Department of Energy,*,FOIA Public Liaison,,*,,,,(015)469-4895x4637,,,,,
*,Department of Commerce,*,FOIA Officer,*,*,*,MD,*,001-732-768-2740x4578,436.030.1328,sara17@gmail.com,*,,
*,Department of Transportation,*,*,*,*,Washington,MD,*,198-854-1246x7983,013-106-2959,tami91@hotmail.com,*,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,001-848-403-5605x58677,,morrismark@yahoo.com,,,
*,*,*,FOIA Public Liaison,,,,,,9142908746,,,,,
*,Department of Commerce,*,FOIA Officer,*,*,Washington,DC,*,(958)632-7768x8748,001-189-424-2356x002,derrick18@hotmail.com,*,,
*,Department of Justice,*,*,*,*,Washington,DC,*,039-355-0015x8912,(189)659-4376,nathanmurray@gmail.com,*,,
*,Department of Health and Human Services,*,FOIA Officer,*,*,*,MD,*,(127)992-2412x62411,+1-771-862-8680x1588,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Commerce,,FOIA Requester Service Center,,,,,,(618)099-1928x27232,,,,,
*,*,*,FOIA Officer,*,*,Washington,DC,*,001-940-339-7968x347,,stevenpadilla@gmail.com,*,http://www.doi.gov/foia/foia-request-form.cfm,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,+1-007-971-6111,,,,,
*,Department of Defense,*,FOIA Public Liaison,*,,,,,4410205514,,jessica84@hotmail.com,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,298-721-7469x950,,,,,
*,Department of Defense,*,*,*,*,Washington,DC,*,014.227.1148x831,902.126.1506x8559,grahamfernando@gmail.com,*,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,+1-427-708-2466x5038,,,,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,906.657.1989,,,,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,+1-952-828-0746x47143,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,+1-311-427-2033x531,,,,,
*,Department of Energy,*,FOIA Officer,,*,*,*,*,001-553-967-6625,+1-466-217-6403x36681,zsmith@yahoo.com,*,http://www.doi.gov/foia/foia-request-form.cfm,
*,Department of Justice,,FOIA Requester Service Center,,,,,,686-660-9219,,,,,
*,Department of Labor ,,FOIA Public Liaison,,,,,,272-218-9722x387,,fbaker@hotmail.com,,,
*,Department of Health and Human Services,*,*,*,*,*,MD,*,182.595.7681x754,(267)587-4510x34804,,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,*,*,FOIA Public Liaison,,,,,,148-834-9747,(188)260-3234x3820,,,,
*,Department of Justice,,FOIA Requester Service Center,*,,,,,9265210016,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,787-153-1866x5520,,dvaughan@gmail.com,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,001-477-848-1887x231,,,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,415-103-3734,,,,,
*,Department of Commerce,*,*,*,,Washington,DC,*,001-552-594-8338,+1-537-882-7785,taylorjeffrey@yahoo.com,*,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,577.313.5722x8399,+1-297-105-4425,imoore@yahoo.com,*,,
*,Department of Veterans Affairs,*,*,*,*,Washington,DC,*,(941)651-9594x066,9655457743,ahenson@gmail.com,http://www.foia.va.gov/,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,001-189-220-7124x85156,(216)115-6723x45074,,,,
*,*,*,FOIA Public Liaison,,,,,,(292)957-6553x6031,,,,,
*,Department of Agriculture,,FOIA Requester Service Center,*,,,,,(236)838-2712,,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,001-373-304-9570x62121,,schultzjoshua@gmail.com,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,401.165.6258,,,,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,001-805-262-6422x7774,,kathymartinez@gmail.com,,,
*,*,*,FOIA Public Liaison,,,,,,(068)849-9470x886,,scottwatson@yahoo.com,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,(308)570-9959,685-800-7712,jessica24@gmail.com,http://www.foia.va.gov/,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,427.742.1392x1954,001-975-433-1236x755,ddouglas@yahoo.com,*,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,681-814-5868x73390,,,,,
*,*,*,*,*,*,Washington,DC,*,6524590156,(569)583-2080x306,nathanfisher@hotmail.com,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Defense,*,FOIA Public Liaison,,,,,,452.591.6325x0180,,,,,
*,Department of Agriculture,*,FOIA Requester Service Center,*,"1400 Independence Avenue, SW",Washington,DC,*,940-335-0903x84872,,curtis02@yahoo.com,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,(552)694-5137x58588,,szuniga@gmail.com,,,
*,Department of Labor ,*,FOIA Officer,*,*,Washington,DC,*,001-928-758-3259,001-123-637-1497x3489,james81@yahoo.com,*,*,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Justice,*,*,,*,*,VA,*,+1-243-647-2074,(982)275-6844x5812,norman48@hotmail.com,*,,
*,Department of Transportation,,FOIA Requester Service Center,,,,,,(970)254-8158x879,,,,,
*,*,*,*,*,*,Washington,DC,*,185-314-0017x597,284-766-9313,,*,https://hudpal.efoia-host.com/palMain.aspx,This agency has additional FOIA contact information that can be found by visiting its website.
*,Department of Transportation,*,FOIA Public Liaison,,,,,,388.682.3888,,bflores@hotmail.com,,,
*,Department of Agriculture,*,FOIA Requester Service Center,,,,,,+1-524-512-6188x07898,884.743.0098,victorialeonard@gmail.com,,,*
*,*,*,FOIA Public Liaison,*,*,*,*,*,(609)142-7503x9502,001-457-653-2648,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,*,*,*,,*,*,*,*,+1-125-691-7614x02878,107.062.7637x99390,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Justice,,FOIA Requester Service Center,,,,,,448.875.9846,,,,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,390.557.5819,,,,,
*,Department of Homeland Security,,FOIA Requester Service Center,,,,,,+1-368-860-2117x3856,,,,,
*,*,*,FOIA Public Liaison,,,,,,+1-240-837-5838x38225,,,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,179.430.4154x514,753-010-2977x20565,rhondapatterson@hotmail.com,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,,(750)751-6892x471,,croberts@hotmail.com,,,
*,Department of Agriculture,*,FOIA Officer,*,"1400 Independence Avenue, SW",Washington,DC,*,+1-168-370-1816x905,869.327.6514,douglasgeorge@yahoo.com,*,,
*,Department of Homeland Security,*,FOIA Officer,*,*,Washington,DC,*,+1-212-183-0057x9521,805-367-8826,marcgrant@gmail.com,*,*,
*,Department of Health and Human Services,*,FOIA Officer,*,*,Washington,DC,*,(958)693-3486,440.987.7203x07164,,*,http://www.justice.gov/oip/oip-request.html,
*,Department of Labor ,,FOIA Requester Service Center,,,,DC,,+1-176-612-3378,,chelsey68@hotmail.com,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,173-154-5027x980,,andrea54@hotmail.com,,,
*,Department of Justice,*,FOIA Public Liaison,,,,,,964-532-9781x372,,,,,
*,Department of Defense,*,FOIA Public Liaison,,,,,*,001-945-648-3914,,evanstommy@yahoo.com,,,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,833-643-9653,,,,,
*,Department of Homeland Security,,FOIA Public Liaison,,,,,,906.828.6905x22197,,,,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,001-305-090-5797x77470,,,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,622-217-8389x0329,,,,,
*,Department of Commerce,*,FOIA Officer,*,*,Washington,DC,*,001-698-322-1786x0492,239.491.4377,adrianwilson@yahoo.com,*,*,
*,*,,FOIA Requester Service Center,,,,,,868-845-3839x5606,603-607-2573x04885,,http://www.foia.va.gov/,,
*,Department of Labor ,,FOIA Requester Service Center,,,,,,763-986-1382x50411,,thomaschristian@gmail.com,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,(352)085-8200x853,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,563.472.4640x293,,mathewskrista@hotmail.com,*,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,650.130.9045,,,,,
*,Department of Veterans Affairs,*,*,*,"810 Vermont Avenue, NW",Washington,DC,20420,001-356-575-5982x658,+1-420-859-2186x90859,,http://www.foia.va.gov/,,
*,Department of Energy,,FOIA Requester Service Center,,,,,,(606)284-3059x78811,,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,(131)648-6630x39783,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,(361)595-4025,,mkent@hotmail.com,*,,
*,*,*,FOIA Public Liaison,*,*,*,*,*,4492989303,(474)408-9501,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Defense,*,*,*,*,*,VA,*,0013796501,8916159422,mcastro@yahoo.com,*,*,
*,Department of Defense,,FOIA Requester Service Center,,,,,,(332)935-0668x561,,,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,(744)182-4801x76637,,james03@yahoo.com,,,
*,*,*,*,,*,*,*,*,705.463.1150x9462,167-993-8859x19313,,,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,*,,,,001-062-401-2595x536,,,,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Homeland Security,*,FOIA Public Liaison,,,,,,056-987-0474,,,,,
*,*,*,FOIA Public Liaison,,*,*,*,*,+1-370-813-1164x86853,+1-452-939-9700x9491,,*,https://hudpal.efoia-host.com/palMain.aspx,This office has additional FOIA contact information that can be found by visiting its website.
*,*,*,*,*,*,*,VA,*,001-511-255-1294x1208,435-540-0437x215,,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Justice,*,FOIA Public Liaison,,,,,,001-772-456-5920x70047,,,,,
*,Department of Labor ,*,*,*,"200 Constitution Avenue, NW",Washington,DC,*,210-222-8503x091,906.221.2931x9946,loripatel@gmail.com,*,,
*,Department of Veterans Affairs,*,FOIA Public Liaison,,,,,,+1-744-220-2441x8692,,,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,3976035548,+1-774-673-3612x860,conradcathy@hotmail.com,,,*
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,460.820.2638,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,059-042-5845x90999,376.910.0775x53485,moransteven@hotmail.com,*,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,724-176-0226x25130,001-991-806-3163,gordonzachary@hotmail.com,,,
*,Department of Energy,*,FOIA Officer,*,*,*,*,*,001-627-469-4409x2549,,esandoval@gmail.com,*,*,
*,Department of Health and Human Services,*,FOIA Officer,*,*,*,*,*,6912147397,(696)789-1807,,,,
*,Department of Agriculture,*,*,*,"1400 Independence Avenue, SW",Washington,DC,*,387.984.0805,495.954.1367x50270,traci20@gmail.com,*,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,314-828-8877,,,,,
*,Department of Defense,*,*,*,*,*,*,*,+1-850-888-9807x6561,001-447-358-2269x544,jessica03@yahoo.com,*,*,
*,Department of Agriculture,*,FOIA Requester Service Center,,*,Washington,DC,*,897-599-1182,001-696-193-4440x577,dmiller@yahoo.com,,,
*,Department of Energy,*,*,,,,,,001-874-700-0967x888,,heather54@gmail.com,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,(904)384-6622x48894,,,,,
*,Department of Agriculture,*,FOIA Requester Service Center,*,"1400 Independence Avenue, SW",Washington,DC,*,+1-719-263-5711x1516,,,,,
*,Department of Justice,*,*,*,*,Washington,DC,*,+1-554-503-0656x882,936-184-2347x5875,,*,http://www.justice.gov/oip/oip-request.html,
*,*,*,FOIA Public Liaison,,,,,,007.597.2592,6201695678,,,,
*,Department of Commerce,*,FOIA Public Liaison,,,,,,061.097.3583x037,,,,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,(714)987-3380,,daniel42@hotmail.com,,,
*,*,*,FOIA Public Liaison,,*,,,,059.068.5050x1998,,,,,
*,Department of Justice,,FOIA Requester Service Center,,,,,,103.007.1817,,,,,
*,*,*,*,*,*,Washington,DC,*,001-092-200-2274,700-850-0057,kelly59@gmail.com,*,https://www.treasury.gov/foia/pages/gofoia.aspx,
*,Department of Health and Human Services,,FOIA Requester Service Center,,,,,,329-878-8298x7944,,,,,
*,Department of Transportation,*,FOIA Public Liaison,,,,,,301.670.0077x9711,,heatherduffy@hotmail.com,,,
*,Department of Agriculture,*,FOIA Officer,*,*,Washington,DC,*,260-612-6689x7135,+1-894-219-0407x19800,rrichardson@yahoo.com,,,
*,Department of Energy,*,FOIA Officer,*,*,Washington,DC,*,339-505-0392,660.796.3214,lgarcia@yahoo.com,*,*,
*,Department of Justice,*,*,*,*,Washington,DC,20530-0001,260-113-3187x322,(719)366-2729,,*,http://www.justice.gov/oip/oip-request.html,*
*,Department of Agriculture,*,FOIA Public Liaison,*,,*,*,,5368041528,,melissathompson@yahoo.com,,,
*,Department of Labor ,*,FOIA Public Liaison,,,,,,+1-731-886-8029,,travis11@gmail.com,,,
*,Department of Justice,*,FOIA Public Liaison,*,,,,,001-313-174-5198x74338,,,,,
*,Department of Energy,*,FOIA Public Liaison,,,,,,615.664.3982x709,,,,,
*,Department of Agriculture,*,*,*,"1400 Independence Avenue, SW",Washington,DC,*,001-104-729-7884x47216,(367)074-4672x297,hrubio@hotmail.com,*,,
*,Department of Agriculture,*,FOIA Public Liaison,,,,,,935-091-9038x56514,,kevinhernandez@yahoo.com,,,
*,Department of Transportation,*,*,*,*,Washington,DC,*,130.853.5722x9483,+1-045-203-0295x499,figueroadenise@yahoo.com,*,,
*,*,*,*,*,*,*,*,*,923.250.3326x60533,600.359.9341x26280,,,,
*,*,*,FOIA Public Liaison,,,,,,4832632370,,,,,
*,Department of Homeland Security,*,FOIA Officer,*,*,*,*,*,678.295.0286x79173,980.071.5052x9509,james73@yahoo.com,*,,This office has additional FOIA contact information that can be found by visiting its website.
*,Department of Justice,*,*,*,*,Washington,DC,*,481-385-4656x098,307-989-2674x47050,josephsharp@gmail.com,*,,
*,*,*,FOIA Public Liaison,,,,,,678-426-7668x9294,,,,,
*,Department of Homeland Security,,FOIA Officer,*,*,Washington,DC,*,+1-109-667-1916x89439,(603)125-0311x164,crawfordwendy@hotmail.com,*,*,
*,Department of Energy,*,FOIA Public Liaison,,,,,,5700728186,,mjefferson@yahoo.com,,,
*,Department of Commerce,,FOIA Requester Service Center,,,,,,2980961208,,,,,
*,Department of Defense,*,FOIA Officer,*,*,Washington,DC,*,265.563.9326,535-960-0969,johnsrachel@yahoo.com,*,http://www.doi.gov/foia/foia-request-form.cfm,
*,Department of Justice,*,FOIA Public Liaison,,,,,,+1-823-881-1265x8717,,,,,
*,Department of Agriculture,,FOIA Requester Service Center,,,,,,725.463.9009,468.328.3291,svaughn@yahoo.com,*,,
*,Department of Veterans Affairs,,FOIA Requester Service Center,,,,,,122-816-3115x627,,,,,
*,Department of Homeland Security,*,FOIA Officer,*,*,Washington,DC,*,437-424-7079,(076)536-3202,phill@gmail.com,*,,
